Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.000000,0.753125,0.728125,0.746875,0.181798,2648000
1962-01-03,0.000000,0.781250,0.753125,0.771875,0.187883,2092000
1962-01-04,0.000000,0.806250,0.771875,0.775000,0.188644,2884000
1962-01-05,0.000000,0.793750,0.775000,0.778125,0.189405,1532000
1962-01-08,0.000000,0.793750,0.765625,0.790625,0.192447,1676000
1962-01-09,0.000000,0.806250,0.781250,0.793750,0.193208,1604000
1962-01-10,0.000000,0.809375,0.787500,0.803125,0.195490,2020000
1962-01-11,0.000000,0.843750,0.796875,0.843750,0.205378,2324000
1962-01-12,0.000000,0.862500,0.846875,0.850000,0.206900,2660000
1962-01-15,0.000000,0.853125,0.831250,0.831250,0.202336,1468000
1962-01-16,0.000000,0.825000,0.790625,0.812500,0.197772,1724000
1962-01-17,0.000000,0.809375,0.768750,0.790625,0.192447,1200000
1962-01-18,0.000000,0.818750,0.787500,0.812500,0.197772,1016000
1962-01-19,0.000000,0.831250,0.796875,0.831250,0.202336,1140000
1962-01-22,0.000000,0.840625,0.812500,0.821875,0.200054,696000
1962-01-23,0.000000,0.828125,0.809375,0.818750,0.199293,324000
1962-01-24,0.000000,0.818750,0.796875,0.812500,0.197772,512000
1962-01-25,0.000000,0.843750,0.815625,0.837500,0.203857,780000
1962-01-26,0.000000,0.853125,0.825000,0.846875,0.206139,1492000
1962-01-29,0.000000,0.853125,0.840625,0.843750,0.205378,560000
1962-01-30,0.000000,0.850000,0.837500,0.840625,0.204618,572000
1962-01-31,0.000000,0.896875,0.843750,0.890625,0.216788,3516000
1962-02-01,0.000000,0.918750,0.896875,0.909375,0.221353,2516000
1962-02-02,0.000000,0.915625,0.884375,0.903125,0.219831,1716000
1962-02-05,0.000000,0.909375,0.890625,0.903125,0.219831,912000
1962-02-06,0.000000,0.903125,0.887500,0.900000,0.219070,444000
1962-02-07,0.000000,0.896875,0.862500,0.875000,0.212985,1020000
1962-02-08,0.000000,0.875000,0.843750,0.843750,0.205378,812000
1962-02-09,0.000000,0.856250,0.828125,0.856250,0.208421,688000
1962-02-12,0.000000,0.850000,0.831250,0.846875,0.206139,384000
1962-02-13,0.000000,0.868750,0.843750,0.862500,0.209943,476000
1962-02-14,0.000000,0.862500,0.843750,0.846875,0.206139,292000
1962-02-15,0.000000,0.853125,0.840625,0.840625,0.204618,376000
1962-02-16,0.000000,0.843750,0.828125,0.837500,0.203857,688000
1962-02-19,0.000000,0.837500,0.828125,0.834375,0.203096,416000
1962-02-20,0.000000,0.893750,0.862500,0.875000,0.212985,1884000
1962-02-21,0.000000,0.878125,0.837500,0.853125,0.207660,1224000
1962-02-23,0.000000,0.853125,0.834375,0.840625,0.204618,436000
1962-02-26,0.000000,0.834375,0.787500,0.806250,0.196251,1548000
1962-02-27,0.000000,0.806250,0.790625,0.790625,0.192447,704000
1962-02-28,0.000000,0.787500,0.778125,0.781250,0.190165,660000
1962-03-01,0.000000,0.806250,0.784375,0.796875,0.193969,544000
1962-03-02,0.000000,0.834375,0.800000,0.818750,0.199293,616000
1962-03-05,0.000000,0.809375,0.800000,0.806250,0.196251,256000
1962-03-06,0.000000,0.812500,0.778125,0.793750,0.193208,528000
1962-03-07,0.000000,0.796875,0.781250,0.790625,0.192447,240000
1962-03-08,0.000000,0.796875,0.781250,0.787500,0.191687,336000
1962-03-09,0.000000,0.790625,0.781250,0.781250,0.190165,348000
1962-03-12,0.000000,0.778125,0.768750,0.768750,0.187122,528000
1962-03-13,0.000000,0.768750,0.756250,0.765625,0.186362,520000
1962-03-14,0.000000,0.784375,0.762500,0.771875,0.187883,396000
1962-03-15,0.000000,0.787500,0.775000,0.778125,0.189405,192000
1962-03-16,0.000000,0.775000,0.762500,0.771875,0.187883,252000
1962-03-19,0.000000,0.765625,0.759375,0.759375,0.184841,276000
1962-03-20,0.000000,0.759375,0.750000,0.753125,0.183319,788000
1962-03-21,0.000000,0.815625,0.756250,0.803125,0.195490,1216000
1962-03-22,0.000000,0.806250,0.778125,0.787500,0.191687,508000
1962-03-23,0.000000,0.787500,0.778125,0.778125,0.189405,300000
1962-03-26,0.000000,0.793750,0.778125,0.778125,0.189405,324000
1962-03-27,0.000000,0.784375,0.753125,0.765625,0.186362,1068000
1962-03-28,0.000000,0.790625,0.768750,0.784375,0.190926,532000
1962-03-29,0.000000,0.790625,0.781250,0.787500,0.191687,260000
1962-03-30,0.000000,0.781250,0.768750,0.771875,0.187883,384000
1962-04-02,0.000000,0.768750,0.756250,0.762500,0.185601,384000
1962-04-03,0.000000,0.771875,0.756250,0.765625,0.186362,368000
1962-04-04,0.000000,0.765625,0.756250,0.759375,0.184841,432000
1962-04-05,0.000000,0.762500,0.731250,0.750000,0.182559,928000
1962-04-06,0.000000,0.790625,0.750000,0.787500,0.191687,744000
1962-04-09,0.000000,0.787500,0.765625,0.771875,0.187883,288000
1962-04-10,0.000000,0.771875,0.765625,0.765625,0.186362,240000
1962-04-11,0.000000,0.787500,0.768750,0.768750,0.187122,396000
1962-04-12,0.000000,0.812500,0.762500,0.800000,0.194729,1172000
1962-04-13,0.000000,0.818750,0.800000,0.806250,0.196251,1052000
1962-04-16,0.000000,0.815625,0.775000,0.781250,0.190165,2048000
1962-04-17,0.000000,0.775000,0.756250,0.775000,0.188644,660000
1962-04-18,0.000000,0.784375,0.768750,0.778125,0.189405,392000
1962-04-19,0.000000,0.781250,0.768750,0.781250,0.190165,268000
1962-04-23,0.000000,0.784375,0.765625,0.771875,0.187883,300000
1962-04-24,0.000000,0.793750,0.762500,0.771875,0.187883,716000
1962-04-25,0.000000,0.781250,0.765625,0.775000,0.188644,416000
1962-04-26,0.000000,0.796875,0.768750,0.781250,0.190165,924000
1962-04-27,0.000000,0.796875,0.784375,0.787500,0.191687,800000
1962-04-30,0.000000,0.796875,0.765625,0.775000,0.188644,604000
1962-05-01,0.000000,0.781250,0.753125,0.778125,0.189405,636000
1962-05-02,0.000000,0.781250,0.765625,0.765625,0.186362,456000
1962-05-03,0.000000,0.781250,0.765625,0.778125,0.189405,424000
1962-05-04,0.000000,0.778125,0.762500,0.768750,0.187122,180000
1962-05-07,0.000000,0.771875,0.756250,0.756250,0.184080,268000
1962-05-08,0.000000,0.765625,0.750000,0.750000,0.182559,400000
1962-05-09,0.000000,0.734375,0.706250,0.712500,0.173431,1300000
1962-05-10,0.000000,0.715625,0.681250,0.696875,0.169627,1128000
1962-05-11,0.000000,0.715625,0.690625,0.696875,0.169627,540000
1962-05-14,0.000000,0.731250,0.693750,0.731250,0.177995,792000
