Date,Open,High,Low,Close,Adj Close,Volume
2021-09-14,200.429993,200.429993,195.929993,196.660004,192.260025,1007700
2021-09-15,196.610001,199.460007,196.080002,198.479996,194.039291,930900
2021-09-16,198.910004,199.500000,194.830002,194.880005,190.519852,819600
2021-09-17,194.119995,195.789993,193.570007,195.119995,190.754456,2722100
2021-09-20,194.000000,194.570007,191.059998,193.429993,189.102264,940400
2021-09-21,193.929993,194.779999,190.690002,191.190002,186.912399,726000
2021-09-22,192.779999,194.949997,192.330002,193.750000,189.415115,698200
2021-09-23,195.600006,197.880005,195.000000,196.750000,192.347992,639000
2021-09-24,196.649994,198.119995,196.619995,197.419998,193.003006,468900
2021-09-27,198.160004,200.210007,197.429993,197.759995,193.335403,645900
2021-09-28,197.789993,198.699997,195.339996,197.100006,192.690186,887700
2021-09-29,198.089996,199.520004,197.089996,198.389999,193.951294,672000
2021-09-30,198.960007,199.490005,196.009995,196.029999,191.644104,1059500
2021-10-01,197.270004,199.300003,194.059998,198.220001,193.785110,876700
2021-10-04,197.660004,199.740005,195.789993,197.509995,193.090988,853100
2021-10-05,198.229996,199.660004,196.619995,198.160004,193.726456,959000
2021-10-06,197.119995,199.410004,195.000000,199.360001,194.899597,727100
2021-10-07,199.889999,202.190002,199.750000,201.729996,198.400864,664200
2021-10-08,201.940002,202.839996,200.860001,202.119995,198.784424,723100
2021-10-11,202.500000,205.839996,201.889999,202.880005,199.531891,701700
2021-10-12,202.880005,205.449997,202.699997,203.550003,200.190811,796300
2021-10-13,203.380005,204.059998,200.929993,203.389999,200.033463,674100
2021-10-14,204.720001,205.669998,203.399994,205.139999,201.754578,737100
2021-10-15,205.750000,208.929993,205.750000,208.059998,204.626389,1076700
2021-10-18,206.919998,208.270004,205.740005,206.660004,203.249496,591300
2021-10-19,207.080002,209.029999,206.050003,208.619995,205.177139,746000
2021-10-20,208.619995,209.630005,207.970001,208.440002,205.000122,939500
2021-10-21,207.960007,208.199997,205.160004,208.039993,204.606720,831300
2021-10-22,208.710007,210.210007,207.470001,209.520004,206.062286,767800
2021-10-25,209.059998,209.630005,207.800003,207.910004,204.478851,672500
2021-10-26,199.210007,205.529999,198.639999,204.570007,201.193985,1855400
2021-10-27,204.990005,208.710007,201.270004,205.789993,202.393845,1138800
2021-10-28,207.250000,207.490005,201.089996,202.610001,199.266327,1119700
2021-10-29,202.600006,204.050003,201.350006,202.750000,199.404022,1485500
2021-11-01,202.809998,203.839996,199.770004,201.889999,198.558197,767700
2021-11-02,202.509995,203.460007,200.970001,201.750000,198.420517,847800
2021-11-03,200.949997,201.250000,197.610001,201.210007,197.889435,1338300
2021-11-04,200.729996,201.179993,197.610001,198.160004,194.889771,1138400
2021-11-05,200.250000,201.360001,199.009995,201.000000,197.682907,1306700
2021-11-08,201.910004,203.169998,200.080002,202.639999,199.295837,1085900
